"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18348","spm","","880147","0","97620","EOST 9110","paratype","","","nymph body","","1","text","","","Vogesonympha ludovici","species","170313","","Vogesonympha ludovici","species","170313","247.2","242","33330"
"18349","spm","","880147","0","97620","EOST 8036","holotype","","","nymph body","","1","text","","","Vogesonympha ludovici","species","170313","","Vogesonympha ludovici","species","170313","247.2","242","33330"
"18350","spm","","880145","0","97620","EOST 9199","","","","nymph body","","1","text","","9-9.7 mm","Mesoplectopteron longipes","species","170305","","Mesoplectopteron longipes","species","170305","247.2","242","33330"
"18351","spm","","880143","0","97620","EOST 6622/6623","holotype","","","nymph body","","1","picture","","","Voltziaephemera fossoria","species","170299","","Voltziaephemera fossoria","species","170299","247.2","242","33330"
"18352","spm","","880143","0","97620","EOST 9217","paratype","","","nymph body","","1","picture","","","Voltziaephemera fossoria","species","170299","","Voltziaephemera fossoria","species","170299","247.2","242","33330"
"18353","spm","","880143","0","97620","EOST 9163","paratype","","","nymph body","","1","picture","","","Voltziaephemera fossoria","species","170299","","Voltziaephemera fossoria","species","170299","247.2","242","33330"
"18354","spm","","880141","0","97620","EOST 9246","paratype","","","nymph body","","1","text","","","Triassoephemera punctata","species","170289","","Triassoephemera punctata","species","170289","247.2","242","33330"
"18775","spm","","277109","0","26452","PVL 2577","holotype","","right","tibia","","1","table","","","Pisanosaurus mertii","species","64409","","Pisanosaurus mertii","species","64409","237","228","10109"
"18776","spm","","277109","0","26452","PVL 2577","holotype","","right","fibula","","1","table","","","Pisanosaurus mertii","species","64409","","Pisanosaurus mertii","species","64409","237","228","10109"
"18777","spm","","558358","0","57948","BMNH 3556","","","","humerus","","1","table","","","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18778","spm","","558358","0","57948","BMNH 3556","","","","ulna","","1","table","","","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18779","spm","","558358","0","57948","BMNH 3557","","","","femur","","1","table","","","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18780","spm","","558358","0","57948","BMNH 3557","","","","tibia","","1","table","","includes astragalus","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18788","spm","","573793","0","60297","UPLR 06","holotype","","","femur","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18789","spm","","573793","0","60297","UPLR 06","holotype","","","tibia","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18790","spm","","272322","0","26092","PVL 4619","","","","femur","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18791","spm","","272322","0","26092","PVL 4619","","","","tibia","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"19230","spm","","906797","0","101955","SAM 1333","holotype","","","Skull length","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19231","spm","","906797","0","101955","SAM 1333","holotype","","","Skull width","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19232","spm","","906797","0","101955","SAM 1333","holotype","","","From premaxillaries to occipital condyle","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19233","spm","","986757","0","92312","AMNH 5622","","","","Skull length","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19234","spm","","986757","0","92312","AMNH 5622","","","","Skull width","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19235","spm","","986757","0","92312","AMNH 5622","","","","From premaxillaries to occipital condyle","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19238","spm","","906799","0","101957","BP//1/F1180/M317","","","","Skull length","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19239","spm","","906799","0","101957","BP//1/F1180/M317","","","","Skull width","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19240","spm","","906799","0","101957","BP//1/F1180/M317","","","","From premaxillaries to occipital condyle","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19241","spm","","906802","0","99751","BP/1/230","","","","Skull length","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19242","spm","","906802","0","99751","BP/1/230","","","","Skull width","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19243","spm","","906802","0","99751","BP/1/230","","","","From premaxillaries to occipital condyle","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19244","spm","","906808","0","101962","BP/1/358","","","","Skull length","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19245","spm","","906808","0","101962","BP/1/358","","","","Skull width","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19246","spm","","906808","0","101962","BP/1/358","","","","From premaxillaries to occipital condyle","","1","text","","","Bauria cynops","species","174511","","Bauria cynops","species","174511","247.2","242","34659"
"19293","spm","F","909063","0","102471","GBA 2009/060/0001","holotype","","","elytron","","1","text","","","Platycrossos caroli","species","174889","","Platycrossos caroli","species","174889","237","228","34771"
"19294","spm","F","909065","0","102471","Landesmuseum Niederosterreich F-5411A","holotype","","","elytron","","1","text","","Width listed as 0.7-0.8 mm","Hydrobiites handlirschi","species","174891","","Hydrobiites handlirschi","species","174891","237","228","34771"
"19295","spm","F","909067","0","102471","GBA 2009/060/0002A","holotype","","","elytron","","1","text","","","Ademosyne polyzetete","species","174892","","Ademosyne polyzetete","species","174892","237","228","34771"
"19296","spm","F","909069","0","102471","GBA 2009/060/0003b","holotype","","","elytron","","1","text","","Incomplete","Diarcuipenna bennettitophila","species","174894","","Diarcuipenna bennettitophila","species","174894","237","228","34771"
"19336","spm","","910255","0","102709","","","","","body","","1","","","","Curculionites prodromus","species","175029","recombined as","Pseudocurculionites prodromus","species","175029","237","228","8345"
"19337","spm","","910254","0","102709","","","","","elytron","","1","text","","","Glaphyroptera pterophylli","species","175032","recombined as","Pseudobuprestites pterophylli","species","175032","237","228","8345"
"19338","spm","","910254","0","102709","","","","","body","","1","text","","","Glaphyroptera pterophylli","species","175032","recombined as","Pseudobuprestites pterophylli","species","175032","237","228","8345"
"19357","spm","","911079","0","102988","FG 596/IV/120","holotype","","right","wing","","1","text","","","Liquia reliquia","species","175089","recombined as","Paratitan reliquia","species","175089","242","237","34822"
"19478","spm","","912465","0","23142","PRE/F/10822","","","","elytron","","1","picture","","","Coleoptera","order","69148","","Coleoptera","order","69148","237","228","34875"
"19479","spm","","912464","0","23142","PRE/F/10436","","","","wing","","1","picture","","","Paraplecoptera","order","175495","subjective synonym of","Eoblattida","order","200469","237","228","34875"
"19480","spm","","912463","0","23142","PRE/F/10124","","","","wing","","1","picture","","","Mecoptera","order","136708","","Mecoptera","order","136708","237","228","34875"
"19481","spm","","912462","41170","23142","PRE/F/5118","","","","forewing","","1","text","","Based on basal half of wing","Triassologus biseriatus","species","197284","","Triassologus biseriatus","species","197284","237","228","85991"
"19972","spm","","915904","0","104795","SZ TM 10/1","holotype","","","forewing","","1","text","","Length estimated from 6.1 mm fragment","Mallorcagryllus hispanicus","species","176558","","Mallorcagryllus hispanicus","species","176558","247.2","242","35071"
"20119","spm","","919961","0","23095","PRE/F 19623","holotype","","","forewing","","1","text","1","","Fletchitzia aleda","species","177027","recombined as","Shurabia aleda","species","177027","237","228","37214"
"20120","spm","","919963","0","23084","PRE/F 16418","holotype","","","forewing","","1","text","","","Fletchitzia kapokkraalensis","species","177029","recombined as","Shurabia kapokkraalensis","species","177029","237","228","35139"
"20122","spm","","919965","0","105007","PIN 2785/2161","holotype","","","forewing","","1","text","","","Shurabia serrata","species","177032","","Shurabia serrata","species","177032","242","237","35139"
"20124","spm","","919967","0","23170","BP/2/20997","holotype","","","forewing","","1","text","1","About 21-22 mm","Fletchitzia picturata","species","177034","obsolete variant of","Fletchitzia picturata","species","177034","237","228","37267"
"20140","spm","","920110","0","105043","PIN 4048/11","holotype","","","forewing","","1","text","","","Tomia sennikovi","species","177096","recombined as","Chauliodites sennikovi","species","177096","251.2","247.2","35141"
"20145","spm","","920124","0","105055","PIN 2496/24","holotype","","","forewing","","1","text","","","Ideliopsina kenderlykensis","species","177107","","Ideliopsina kenderlykensis","species","177107","228","208.5","35143"
"20147","spm","","920132","0","105057","PIN 3320/10","holotype","","","forewing","","1","text","","","Triassoprobnis humilis","species","177111","","Triassoprobnis humilis","species","177111","228","208.5","35143"
"20716","spm","","927304","0","106088","PIN 255/1280","holotype","","","forewing","","1","text","","","Costatoviblatta similis","species","178949","","Costatoviblatta similis","species","178949","242","237","35387"
"20717","spm","","927307","0","106090","PIN 2069/1518","holotype","","","forewing","","1","text","","","Madygenocephalus micropteron","species","178951","","Madygenocephalus micropteron","species","178951","242","237","35387"
"20718","spm","","927307","0","106090","PIN 2069/1518","holotype","","","hindwing","","1","text","","","Madygenocephalus micropteron","species","178951","","Madygenocephalus micropteron","species","178951","242","237","35387"
"20986","spm","","930589","0","106482","","holotype","","","forewing","","1","text","","length is estimated","Triassoneura okafujii","species","180216","recombined as","Pseudotriassothemis okafujii","species","180216","237","228","35555"
"20987","spm","","930590","0","106482","","holotype","","","forewing","","1","text","","length is an estimate","Triassothemis nipponensis","species","180220","recombined as","Pseudotriassothemis nipponensis","species","180220","237","228","35555"
"20988","spm","","930591","0","106483","","","","","forewing","","1","text","","","Clatrotitan andersoni","species","180224","","Clatrotitan andersoni","species","180224","247.2","242","35556"
"20989","spm","","930592","0","106483","","holotype","","","forewing","","1","text","","length estimated","Mesotitan tillyardi","species","180226","subjective synonym of","Clatrotitan scullyi","species","180227","247.2","242","35556"
"20990","spm","","930593","0","106483","USGD310","","","","forewing","","1","text","","length estimated","Mesotitan scullyi","species","180227","recombined as","Clatrotitan scullyi","species","180227","247.2","242","35556"
"20991","spm","","930595","0","106483","","holotype","","","forewing","","1","text","","length estimated","Austroidelia perplexa","species","180230","","Austroidelia perplexa","species","180230","247.2","242","35558"
"20992","spm","","930596","0","106483","AMF 30970","holotype","","","forewing","","1","text","","length estimated","Mesacridites elongata","species","180232","","Mesacridites elongata","species","180232","247.2","242","35558"
"20993","spm","","930597","0","106483","","holotype","","","forewing","","1","text","","","Prohagla superba","species","180237","","Prohagla superba","species","180237","247.2","242","35558"
"21127","spm","","932232","30198","106916","EOST 5916","holotype","","","forewing","","1","text","","","Vosegus triassicus","species","181106","objective synonym of","Leaphis prima","species","217182","247.2","242","35667"
"21283","spm","","935140","0","106916","G.S. 6643","holotype","","","forewing","","1","text","","","Embigryllus shcherbakovi","species","182668","","Embigryllus shcherbakovi","species","182668","247.2","242","35805"
"21284","spm","","935139","0","106916","G.S. 5787/5788","holotype","","","forewing","","1","text","","","Vosgesopterum arzvillerensis","species","182666","","Vosgesopterum arzvillerensis","species","182666","247.2","242","35805"
"21285","spm","","935133","0","107683","G.S. 5537/5538","holotype","","","forewing","","1","text","","","Baharellinus umbrosus","species","182664","","Baharellinus umbrosus","species","182664","247.2","242","35805"
"21286","spm","","935129","0","107682","G.S. 5895","holotype","","","forewing","","1","text","","","Dorniella ovalis","species","182662","","Dorniella ovalis","species","182662","247.2","242","35805"
"21287","spm","","935137","0","106916","G.S. 5539/5540","holotype","","","forewing","","1","text","","Range given as 9-10","Dorniella apectinata","species","182661","","Dorniella apectinata","species","182661","247.2","242","35805"
"21288","spm","","935136","0","106916","G.S. 9352","holotype","","","forewing","","1","text","","","Dorniella diluta","species","182660","","Dorniella diluta","species","182660","247.2","242","35805"
"21289","spm","","935128","0","107682","G.S. 5791/5792","holotype","","","forewing","","1","text","","Range given as 8.3-10","Dorniella elcanoides","species","182659","","Dorniella elcanoides","species","182659","247.2","242","35805"
"21290","spm","","935134","0","106916","G.S. 5844/5845","holotype","","","forewing","","1","text","","","Megakhosarodes vosgesicus","species","182658","","Megakhosarodes vosgesicus","species","182658","247.2","242","35805"
"21291","spm","","935127","0","107682","G.S. 5711/5712","holotype","","","forewing","","1","text","","","Palaeomesorthopteron pullus","species","182656","","Palaeomesorthopteron pullus","species","182656","247.2","242","35805"
"21292","spm","","935125","0","107681","G.S. 5541/5542","holotype","","","forewing","","1","text","","Range given as 10-12.5","Chauliodites anisicus","species","182654","","Chauliodites anisicus","species","182654","247.2","242","35805"
"21309","spm","","935496","0","107682","Coll. Grauvogel & Gall 6597-6598","holotype","","","forewing","","1","text","","","Triassophyllum leopardi","species","182812","","Triassophyllum leopardi","species","182812","247.2","242","35845"
"21310","spm","","935496","0","107682","Coll. Grauvogel & Gall 7881","paratype","","","forewing","","1","picture","","","Triassophyllum leopardi","species","182812","","Triassophyllum leopardi","species","182812","247.2","242","35845"
"21395","spm","","937661","0","108308","PIN 5252/1","holotype","","left","elytron","","1","text","","","Tetracoleus tshalyshevi","species","183802","","Tetracoleus tshalyshevi","species","183802","247.2","242","35925"
"21396","spm","","937662","0","108308","PIN 5252/2","holotype","","right","elytron","","1","text","","","Tetracoleus minimus","species","183803","","Tetracoleus minimus","species","183803","247.2","242","35925"
"21397","spm","","937672","0","108318","PIN 2047/1","holotype","","right","elytron","","1","text","","","Schizocoleus septentrionalis","species","183806","","Schizocoleus septentrionalis","species","183806","251.2","247.2","35925"
"21398","spm","","937663","0","108308","PIN 5252/8","","","left","elytron","","1","text","","","Schizocoleus septentrionalis","species","183806","","Schizocoleus septentrionalis","species","183806","247.2","242","35925"
"21399","spm","","937663","0","108308","PIN 5252/5","","","both","elytron","","1","text","","","Schizocoleus septentrionalis","species","183806","","Schizocoleus septentrionalis","species","183806","247.2","242","35925"
"21400","spm","","937664","0","108308","PIN 5252/6","holotype","","right","elytron","","1","text","","","Stegosyne borealis","species","183808","","Stegosyne borealis","species","183808","247.2","242","35925"
"21401","spm","","937665","0","108308","PIN 5252/10","holotype","","right","elytron","","1","text","","","Pseudochrysomelites anser","species","183810","","Pseudochrysomelites anser","species","183810","247.2","242","35925"
"21402","spm","","937666","0","108308","PIN 5252/3","holotype","","left","elytron","","1","text","","","Pseudochrysomelites planus","species","183811","","Pseudochrysomelites planus","species","183811","247.2","242","35925"
"21403","spm","","937667","0","108308","PIN 5252/9","holotype","","right","elytron","","1","text","","","Pseudochrysomelites dilatatus","species","183812","","Pseudochrysomelites dilatatus","species","183812","247.2","242","35925"
"21404","spm","","937673","0","108318","PIN 2047/2","holotype","","left","elytron","","1","text","","","Pseudorhynchophora convexa","species","183814","","Pseudorhynchophora convexa","species","183814","251.2","247.2","35925"
"22365","spm","","949219","0","110739","MCNAM-PI 24527","holotype","","","forewing","","1","text","","Length estimated from 25 mm fragment","Mendozachorista volkheimeri","species","187166","","Mendozachorista volkheimeri","species","187166","228","208.5","36402"
"22366","spm","","949220","0","110739","MCNAM-PI 24528","holotype","","","elytron","","1","text","","Length estimated from 4.5 mm fragment","Ademosyne llantenesensis","species","187167","","Ademosyne llantenesensis","species","187167","228","208.5","36402"
"22367","spm","","949221","0","110739","MCNAM-PI 24529","holotype","","","elytron","","1","text","","","Ademosyne rosenfeldi","species","187168","","Ademosyne rosenfeldi","species","187168","228","208.5","36402"
"22368","spm","","949441","0","110765","PIN 2971/559","","","","tegmen","","1","picture","","","Tingiopsis reticulata","species","187181","","Tingiopsis reticulata","species","187181","242","237","36403"
"22369","spm","","949419","0","106088","PIN 2555/2213","","","","tegmen","","1","picture","","","Tingiopsis reticulata","species","187181","","Tingiopsis reticulata","species","187181","242","237","36403"
"22370","spm","","949453","0","110766","PIN 3288/383","","","","tegmen","","1","text","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22371","spm","","949453","0","110766","PIN 3288/384","","","","tegmen","","1","text","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22372","spm","","949453","0","110766","PIN 3288/384","","","","body","","1","text","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22373","spm","","949461","0","110767","PIN 2083/25(32)","","","","tegmen","","1","text","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22374","spm","","949461","0","110767","PIN 2083/25(32)","","","","body","","1","text","","Based on pronotum","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22375","spm","","949442","0","110765","PIN 2971/561","paratype","","","tegmen","","1","text","","Width measured from figure","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22376","spm","","949442","0","110765","PIN 2971/561","paratype","","","body","","1","text","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22377","spm","","949442","0","110765","PIN 2971/212","paratype","","","tegmen","","1","picture","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22378","spm","","949461","0","110767","PIN 2083/248","holotype","","","tegmen","","1","picture","","","Sacvoyagea ventrosa","species","187195","","Sacvoyagea ventrosa","species","187195","242","237","36403"
"22379","spm","","949432","0","110763","PIN 2240/2893","holotype","","","tegmen","","1","picture","","","Nevicia imitans","species","187200","","Nevicia imitans","species","187200","242","237","36403"
"22380","spm","","949454","0","110766","PIN 3288/342","holotype","","","tegmen","","1","picture","","","Nonescyta mala","species","187202","","Nonescyta mala","species","187202","242","237","36403"
"22381","spm","","949420","0","106088","PIN 2555/2382","paratype","","","tegmen","","1","text","","","Nevicia imitans","species","187200","","Nevicia imitans","species","187200","242","237","36403"
"22382","spm","","949443","0","110765","PIN 2971/197","paratype","","","tegmen","","1","text","","","Nonescyta mala","species","187202","","Nonescyta mala","species","187202","242","237","36403"
"22383","spm","","949444","0","110765","PIN 2971/220","holotype","","","tegmen","","1","picture","","","Asiocula lima","species","187205","","Asiocula lima","species","187205","242","237","36403"
"22384","spm","","949433","0","110763","PIN 2240/3705","paratype","","","tegmen","","1","picture","","","Asiocula lima","species","187205","","Asiocula lima","species","187205","242","237","36403"
"22385","spm","","949455","0","110766","PIN 3288/369","holotype","","","tegmen","","1","picture","","","Falcarta bella","species","187207","","Falcarta bella","species","187207","242","237","36403"
"22386","spm","","949463","0","110767","PIN 2083/249","holotype","","","tegmen","","1","picture","","","Krendelia ansata","species","187209","","Krendelia ansata","species","187209","242","237","36403"
"22387","spm","","949427","0","105007","PIN 2785/3088","holotype","","left","tegmen","","1","picture","","","Fasolinka beckermigdisovae","species","187211","","Fasolinka beckermigdisovae","species","187211","242","237","36403"
"22388","spm","","949465","0","110767","PIN 2083/20","holotype","","","tegmen","","1","text","","","Cuanoma protracta","species","187213","","Cuanoma protracta","species","187213","242","237","36403"
"22389","spm","","949449","0","110765","PIN 2971/178","holotype","","","tegmen","","1","text","","","Phyllotexta latens","species","187215","","Phyllotexta latens","species","187215","242","237","36403"
"22390","spm","","949458","0","110766","PIN 3288/333","paratype","","","tegmen","","1","text","","","Phyllotexta latens","species","187215","","Phyllotexta latens","species","187215","242","237","36403"
"22391","spm","","949459","0","110766","PIN 3288/367","holotype","","","tegmen","","1","picture","","","Sitechka perforata","species","187217","","Sitechka perforata","species","187217","242","237","36403"
"22392","spm","","949467","0","110767","PIN 2083/28","paratype","","","tegmen","","1","text","","","Sitechka perforata","species","187217","","Sitechka perforata","species","187217","242","237","36403"
"22393","spm","","949450","0","110765","PIN 2971/385","","","","tegmen","","1","picture","","","Maguviopsis kotchnevi","species","187218","","Maguviopsis kotchnevi","species","187218","242","237","36403"
"22394","spm","","949451","0","110765","PIN 2971/181","paratype","","","tegmen","","1","picture","","","Fulgobole evansi","species","187221","","Fulgobole evansi","species","187221","242","237","36403"
"22395","spm","","949424","0","106088","PIN 2555/2228","holotype","","","tegmen","","1","picture","","","Fulgobole evansi","species","187221","","Fulgobole evansi","species","187221","242","237","36403"
"22396","spm","","949429","0","105007","PIN 2785/3070","holotype","","","tegmen","","1","text","","","Scytachile emeljanovi","species","187223","","Scytachile emeljanovi","species","187223","242","237","36403"
"22397","spm","","949425","0","106088","PIN 2555/2499","","","","tegmen","","1","text","","","Scytachile emeljanovi","species","187223","","Scytachile emeljanovi","species","187223","242","237","36403"
"22398","spm","","949437","0","110763","PIN 2240/3059","","","","tegmen","","1","picture","","","Mesojablonia kukalovae","species","187225","","Mesojablonia kukalovae","species","187225","242","237","36403"
"22506","spm","","950795","0","107683","Grauvogel Coll. 57.32","holotype","","","forewing","","1","text","","","Triadotypus guillaumei","species","188245","recombined as","Reisia guillaumei","species","188245","247.2","242","36453"
"22507","spm","","950812","0","111060","","holotype","","","forewing","","1","picture","","","Triadotypus nana","species","188972","recombined as","Reisia nana","species","188246","237","228","36453"
"22516","spm","","950868","0","105007","PIN 2785/20","holotype","","","forewing","","1","picture","","","Zygophlebia ramosa","species","188257","","Zygophlebia ramosa","species","188257","242","237","36453"
"22519","spm","","950896","0","106088","PIN 2555/2074","holotype","","","forewing","","1","text","","","Xamenophlebia ornata","species","188267","","Xamenophlebia ornata","species","188267","242","237","36453"
"22520","spm","","950891","0","105007","PIN 2785/8","holotype","","","forewing","","1","text","","","Mixophlebia mixta","species","188261","","Mixophlebia mixta","species","188261","242","237","36453"
"22579","spm","","951443","0","111203","MNHN-LP-B.9711","holotype","","","forewing","","1","text","1","","Piroutetia liasina","species","188253","","Piroutetia liasina","species","188253","208.5","201.3","36464"
"22581","spm","","951478","0","94207","MCSNB 6679","holotype","","","forewing","","1","text","","","Italophlebia paganoniae","species","188908","","Italophlebia paganoniae","species","188908","212","205.6","36467"
"22582","spm","","951479","0","94207","MCSNB 6678","holotype","","","forewing","","1","text","","","Italomyrmeleon bergomensis","species","188910","","Italomyrmeleon bergomensis","species","188910","212","205.6","36467"
"22587","spm","","951480","0","94207","MCSNB 9499","","","","forewing","","1","text","","","Odonata","order","71353","","Odonata","order","71353","212","205.6","36467"
"22588","spm","","951480","0","94207","MCSNB 9499","","","","Thorax","","1","picture","","","Odonata","order","71353","","Odonata","order","71353","212","205.6","36467"
"22591","spm","","951477","0","94207","MCSNB 3460","holotype","","","forewing","","1","text","","","Italophlebia gervasuttii","species","188907","","Italophlebia gervasuttii","species","188907","212","205.6","36467"
"22592","spm","","951477","0","94207","MCSNB 3460","holotype","","","Body","","1","text","","","Italophlebia gervasuttii","species","188907","","Italophlebia gervasuttii","species","188907","212","205.6","36467"
"22593","spm","","951477","0","94207","MCSNB 9500","","","left","hindwing","","1","text","","","Italophlebia gervasuttii","species","188907","","Italophlebia gervasuttii","species","188907","212","205.6","36467"
"22594","spm","","951477","0","94207","MCSNB 3460","holotype","","","hindwing","","1","text","","","Italophlebia gervasuttii","species","188907","","Italophlebia gervasuttii","species","188907","212","205.6","36467"
"22820","spm","","953896","0","111558","AM F.39228","holotype","","","forewing","","1","text","1","","Triassopsyche dunstani","species","190008","subjective synonym of","Mesopsyche triareolata","species","189997","228","208.5","36514"
"22821","spm","","953895","0","111558","AM F.39233","holotype","","","forewing","","1","text","1","","Mesopsyche triareolata","species","189997","","Mesopsyche triareolata","species","189997","228","208.5","36514"
"22822","spm","","953894","0","111558","Coll. QGS 160a","holotype","","","wing","","1","text","","","Protopsychopsis venosa","species","189996","","Protopsychopsis venosa","species","189996","228","208.5","36514"
"22823","spm","","953897","0","111558","Coll. QGS 106a","holotype","","","hindwing","","1","text","","","Archipanorpa magnifica","species","190016","","Archipanorpa magnifica","species","190016","228","208.5","36514"
"22824","spm","","953897","0","111558","Coll. QGS 120a","paratype","","","forewing","","1","text","","","Archipanorpa magnifica","species","190016","","Archipanorpa magnifica","species","190016","228","208.5","36514"
"22913","spm","","955012","0","111683","Mitchell No 5","holotype","","","wing","","1","text","","Length estimated 8-8.5 mm, from 7.5 mm fragment","Mesopanorpa wianamattensis","species","190420","recombined as","Mesopanorpodes wianamattensis","species","190420","247.2","242","36522"
"22914","spm","","955013","0","111683","AM F. 39328","holotype","","","elytron","","1","text","","","Elateridium angustius","species","190177","","Elateridium angustius","species","190177","247.2","242","36522"
"22915","spm","","955014","0","111683","AM F.39329","holotype","","","elytron","","1","text","","","Adelidium cordatum","species","190179","","Adelidium cordatum","species","190179","247.2","242","36522"
"22936","spm","","955598","0","111777","GSQI 8","holotype","","","tegmen","","1","picture","","","Austromylacrites latus","species","190273","","Austromylacrites latus","species","190273","228","208.5","36527"
"22937","spm","","955600","0","111777","QM GSQ1a","holotype","","","Basal half of wing","","1","picture","1","","Mesomantidion queenslandicum","species","190278","","Mesomantidion queenslandicum","species","190278","228","208.5","36527"
"22938","spm","","955601","0","111777","GSQI 12","holotype","","","elytron","","1","text","","","Ademosyne australiensis","species","190279","","Ademosyne australiensis","species","190279","228","208.5","36527"
"22939","spm","","955602","0","111777","GSQI 15","holotype","","","elytron","","1","text","","","Ademosyne angusta","species","190281","recombined as","Ademosynoides angusta","species","190281","228","208.5","36527"
"22947","spm","","955603","0","111777","GSQI 9","holotype","","","elytron","","1","text","","","Ademosyne obtusa","species","190285","recombined as","Ademosynoides obtusa","species","190285","228","208.5","36527"
"22948","spm","","955621","0","111854","GSQI S1","holotype","","","elytron","","1","text","","","Pseudorhynchophora olliffi","species","190287","recombined as","Ademosyne olliffi","species","190287","228","208.5","36527"
"22949","spm","","955622","0","111854","GSQI S2","holotype","","","elytron","","1","text","","","Ademosyne major","species","190289","","Ademosyne major","species","190289","228","208.5","36527"
"22950","spm","","955623","0","111854","GSQI S3","holotype","","","elytron","","1","text","","","Ademosyne minor","species","190290","recombined as","Ademosynoides minor","species","190290","228","208.5","36527"
"22951","spm","","955623","0","111854","GSQI S3","holotype","","","body","","1","text","","","Ademosyne minor","species","190290","recombined as","Ademosynoides minor","species","190290","228","208.5","36527"
"22952","spm","","955607","0","111777","GSQI40","holotype","","","elytron","","1","text","","","Ademosyne congener","species","190291","","Ademosyne congener","species","190291","228","208.5","36527"
"22953","spm","","955608","0","111777","GSQI45","holotype","","","elytron","","1","text","","","Ademosyne tumida","species","190292","recombined as","Platycrossos tumidus","species","190292","228","208.5","36527"
"22954","spm","","955609","0","111777","GSQI46","holotype","","","elytron","","1","text","","","Ademosyne cameroni","species","190293","","Ademosyne cameroni","species","190293","228","208.5","36527"
"22955","spm","","955610","0","111777","GSQI47","holotype","","","elytron","","1","text","","","Ademosyne punctata","species","190294","","Ademosyne punctata","species","190294","228","208.5","36527"
"22956","spm","","1191166","0","111777","GSQI61","holotype","","","elytron","","1","text","","","Mesostigmodera typica","species","190296","","Mesostigmodera typica","species","190296","228","208.5","36527"
"22957","spm","","955611","0","111777","GSQI50","holotype","","","elytron","","1","text","","","Ulomites willcoxi","species","190298","","Ulomites willcoxi","species","190298","228","208.5","36527"
"22958","spm","","955612","0","111777","GSQI48","holotype","","","elytron","","1","text","","","Mesothoris clathrata","species","190301","","Mesothoris clathrata","species","190301","228","208.5","36527"
"22959","spm","","955625","0","111854","GSQI S4","holotype","","","elytron","","1","text","","","Etheridgea australis","species","190306","","Etheridgea australis","species","190306","228","208.5","36527"
"22960","spm","","1522141","0","212833","QMF 58847","","","","forewing","","1","text","","","Mesophlebia antinodalis","species","180507","","Mesophlebia antinodalis","species","180507","237","228","73487"
